Dataset,Goal,Method,MAP
labeled_boeing,1,TF-IDF,0.0
labeled_boeing,2,TF-IDF,0.3333333333333333
labeled_boeing,1,SBERT,0.0
labeled_boeing,2,SBERT,0.6666666666666666
labeled_boeing,1,Image,0.25
labeled_boeing,2,Image,0.45
labeled_cardinal,1,TF-IDF,0.0
labeled_cardinal,2,TF-IDF,0.0
labeled_cardinal,1,SBERT,1.0
labeled_cardinal,2,SBERT,0.125
labeled_cardinal,1,Image,1.0
labeled_cardinal,2,Image,0.16666666666666666
labeled_citi,1,TF-IDF,0.0
labeled_citi,2,TF-IDF,0.0
labeled_citi,3,TF-IDF,0.0
labeled_citi,4,TF-IDF,0.0
labeled_citi,1,SBERT,0.0
labeled_citi,2,SBERT,0.0
labeled_citi,3,SBERT,1.0
labeled_citi,4,SBERT,0.0
labeled_citi,1,Image,0.0
labeled_citi,2,Image,0.6111111111111112
labeled_citi,3,Image,0.0
labeled_citi,4,Image,0.0
labeled_google,1,TF-IDF,0.35962301587301587
labeled_google,2,TF-IDF,0.3333333333333333
labeled_google,3,TF-IDF,0.5
labeled_google,1,SBERT,0.2851851851851852
labeled_google,2,SBERT,0.7041666666666666
labeled_google,3,SBERT,0.7
labeled_google,1,Image,0.5926190476190476
labeled_google,2,Image,0.5088888888888888
labeled_google,3,Image,0.0
labeled_khc,1,TF-IDF,0.0
labeled_khc,2,TF-IDF,0.2
labeled_khc,3,TF-IDF,0.5
labeled_khc,1,SBERT,0.0
labeled_khc,2,SBERT,0.5
labeled_khc,3,SBERT,1.0
labeled_khc,1,Image,1.0
labeled_khc,2,Image,0.5833333333333333
labeled_khc,3,Image,1.0
labeled_pfizer,1,TF-IDF,1.0
labeled_pfizer,2,TF-IDF,0.0
labeled_pfizer,3,TF-IDF,0.0
labeled_pfizer,1,SBERT,0.6833333333333333
labeled_pfizer,2,SBERT,0.0
labeled_pfizer,3,SBERT,0.0
labeled_pfizer,1,Image,0.8528571428571429
labeled_pfizer,2,Image,0.75
labeled_pfizer,3,Image,0.125
labeled_p&g,1,TF-IDF,0.7
labeled_p&g,2,TF-IDF,0.0
labeled_p&g,3,TF-IDF,0.35158730158730156
labeled_p&g,1,SBERT,0.25
labeled_p&g,2,SBERT,0.0
labeled_p&g,3,SBERT,0.7847222222222222
labeled_p&g,1,Image,0.6111111111111112
labeled_p&g,2,Image,0.0
labeled_p&g,3,Image,0.7847222222222222
